,Date,Offline Spend,Online Spend,Revenue,Total Spending
134,2017-05-15,2500,682.42,8932.949999999999,3182.42
135,2017-05-16,2500,1605.63,11100.619999999999,4105.63
136,2017-05-17,2500,3052.49,7334.599999999998,5552.49
137,2017-05-18,2500,2805.79,6579.359999999998,5305.79
138,2017-05-19,2500,2331.31,9788.649999999998,4831.3099999999995
139,2017-05-20,2500,2298.34,4818.309999999999,4798.34
140,2017-05-21,1000,882.98,4652.19,1882.98
141,2017-05-22,1000,979.08,7455.31,1979.08
142,2017-05-23,1000,1196.03,8089.8,2196.0299999999997
143,2017-05-24,1000,670.51,9374.660000000002,1670.51
144,2017-05-25,1000,2565.75,7077.789999999999,3565.75
145,2017-05-26,1000,2752.13,7908.96,3752.13
146,2017-05-27,1000,1976.31,3594.47,2976.31
147,2017-05-28,500,465.4,1719.8899999999999,965.4
148,2017-05-29,500,670.64,4148.23,1170.6399999999999
149,2017-05-30,500,1262.38,12764.859999999997,1762.38
150,2017-05-31,500,1010.3,15851.149999999992,1510.3
151,2017-06-01,500,320.25,7296.739999999999,820.25
152,2017-06-02,500,1622.46,8439.33,2122.46
153,2017-06-03,500,1230.43,4949.49,1730.43
154,2017-06-04,3500,2553.18,3999.9599999999996,6053.18
155,2017-06-05,3500,3202.1,8062.349999999998,6702.1
156,2017-06-06,3500,1126.87,5536.580000000001,4626.87
157,2017-06-07,3500,1694.16,6426.989999999999,5194.16
158,2017-06-08,3500,1598.46,7206.069999999997,5098.46
159,2017-06-09,3500,2940.1,7984.619999999998,6440.1
160,2017-06-10,3500,1881.94,2876.629999999999,5381.9400000000005
161,2017-06-11,3000,1428.32,5340.089999999998,4428.32
162,2017-06-12,3000,2321.52,16474.45,5321.52
163,2017-06-13,3000,1084.43,11848.769999999997,4084.4300000000003
164,2017-06-14,3000,1749.49,14346.839999999998,4749.49
165,2017-06-15,3000,1919.84,7877.309999999999,4919.84
166,2017-06-16,3000,2009.36,10035.099999999997,5009.36
167,2017-06-17,3000,2743.71,5907.969999999999,5743.71
168,2017-06-18,3500,2289.42,6965.5,5789.42
169,2017-06-19,3500,2617.14,8837.889999999998,6117.139999999999
170,2017-06-20,3500,1019.59,6197.45,4519.59
171,2017-06-21,3500,1473.98,10985.459999999997,4973.98
172,2017-06-22,3500,2217.07,8927.829999999996,5717.07
173,2017-06-23,3500,2283.08,7083.469999999999,5783.08
174,2017-06-24,3500,1975.15,3368.8700000000003,5475.15
175,2017-06-25,1500,956.13,2791.61,2456.13
176,2017-06-26,1500,1478.19,8126.299999999997,2978.19
177,2017-06-27,1500,649.14,8740.08,2149.14
178,2017-06-28,1500,1709.84,13929.69,3209.84
179,2017-06-29,1500,2652.13,7734.469999999998,4152.13
180,2017-06-30,1500,1070.66,7536.889999999998,2570.66
181,2017-07-01,1500,1932.64,3997.1499999999996,3432.6400000000003
182,2017-07-02,2000,1108.03,2955.62,3108.0299999999997
183,2017-07-03,2000,526.96,5343.909999999999,2526.96
184,2017-07-04,2000,2227.95,3384.24,4227.95
185,2017-07-05,2000,2103.13,14343.869999999995,4103.13
186,2017-07-06,2000,2663.67,7904.109999999997,4663.67
187,2017-07-07,2000,2249.45,9265.68,4249.45
188,2017-07-08,2000,2553.01,3647.949999999999,4553.01
189,2017-07-09,2500,1870.67,3029.34,4370.67
190,2017-07-10,2500,1240.47,10221.21,3740.4700000000003
191,2017-07-11,2500,1128.09,10569.27,3628.09
192,2017-07-12,2500,923.4,7624.1399999999985,3423.4
193,2017-07-13,2500,2489.36,23246.429999999997,4989.360000000001
194,2017-07-14,2500,2064.34,9430.549999999997,4564.34
195,2017-07-15,2500,1616.22,6264.05,4116.22
196,2017-07-16,2000,1163.11,3941.73,3163.1099999999997
197,2017-07-17,2000,1331.1,9210.740000000003,3331.1
198,2017-07-18,2000,2408.61,37363.66999999999,4408.610000000001
199,2017-07-19,2000,3444.24,11433.659999999996,5444.24
200,2017-07-20,2000,2097.22,10999.890000000003,4097.219999999999
201,2017-07-21,2000,1253.24,7156.22,3253.24
202,2017-07-22,2000,2521.31,5647.759999999998,4521.3099999999995
203,2017-07-23,2500,1760.92,6893.54,4260.92
204,2017-07-24,2500,850.14,9444.599999999997,3350.14
205,2017-07-25,2500,1169.05,11074.82,3669.05
206,2017-07-26,2500,1627.19,8453.050000000001,4127.1900000000005
207,2017-07-27,2500,1151.7,8357.789999999999,3651.7
208,2017-07-28,2500,2425.35,11141.390000000001,4925.35
209,2017-07-29,2500,1353.73,1839.0400000000002,3853.73
210,2017-07-30,1500,478.27,6009.429999999999,1978.27
211,2017-07-31,1500,985.28,15309.299999999992,2485.2799999999997
212,2017-08-01,1500,641.12,13498.630000000003,2141.12
213,2017-08-02,1500,2155.96,41620.07,3655.96
214,2017-08-03,1500,2493.64,9261.61,3993.64
215,2017-08-04,1500,2688.98,14291.74,4188.98
